# pixel	lambda_nm	raman_cm1
0.000000	528.734820	-116.080054
1.000000	528.801717	-113.687405
2.000000	528.868615	-111.295362
3.000000	528.935512	-108.903923
4.000000	529.002410	-106.513090
5.000000	529.069307	-104.122861
6.000000	529.136205	-101.733236
7.000000	529.203102	-99.344216
8.000000	529.270000	-96.955799
9.000000	529.336897	-94.567986
10.000000	529.403795	-92.180777
11.000000	529.470692	-89.794171
12.000000	529.537590	-87.408168
13.000000	529.604487	-85.022768
14.000000	529.671385	-82.637970
15.000000	529.738282	-80.253774
16.000000	529.805179	-77.870181
17.000000	529.872077	-75.487189
18.000000	529.938974	-73.104800
19.000000	530.005872	-70.723011
20.000000	530.072769	-68.341824
21.000000	530.139667	-65.961238
22.000000	530.206564	-63.581252
23.000000	530.273462	-61.201867
24.000000	530.340359	-58.823082
25.000000	530.407257	-56.444898
26.000000	530.474154	-54.067313
27.000000	530.541052	-51.690327
28.000000	530.607949	-49.313941
29.000000	530.674847	-46.938155
30.000000	530.741744	-44.562967
31.000000	530.808642	-42.188377
32.000000	530.875539	-39.814387
33.000000	530.942437	-37.440994
34.000000	531.009334	-35.068200
35.000000	531.076231	-32.696003
36.000000	531.143129	-30.324404
37.000000	531.210026	-27.953402
38.000000	531.276924	-25.582997
39.000000	531.343821	-23.213189
40.000000	531.410719	-20.843978
41.000000	531.477616	-18.475363
42.000000	531.544514	-16.107345
43.000000	531.611411	-13.739922
44.000000	531.678309	-11.373095
45.000000	531.745206	-9.006864
46.000000	531.812104	-6.641228
47.000000	531.879001	-4.276187
48.000000	531.945899	-1.911741
49.000000	532.012796	0.452111
50.000000	532.079694	2.815368
51.000000	532.146591	5.178030
52.000000	532.213489	7.540099
53.000000	532.280386	9.901574
54.000000	532.347283	12.262456
55.000000	532.414181	14.622744
56.000000	532.481078	16.982440
57.000000	532.547976	19.341542
58.000000	532.614873	21.700052
59.000000	532.681771	24.057970
60.000000	532.748668	26.415295
61.000000	532.815566	28.772028
62.000000	532.882463	31.128170
63.000000	532.949361	33.483720
64.000000	533.016258	35.838679
65.000000	533.083156	38.193047
66.000000	533.150053	40.546824
67.000000	533.216951	42.900010
68.000000	533.283848	45.252606
69.000000	533.350746	47.604612
70.000000	533.417643	49.956027
71.000000	533.484541	52.306854
72.000000	533.551438	54.657090
73.000000	533.618336	57.006738
74.000000	533.685233	59.355796
75.000000	533.752130	61.704265
76.000000	533.819028	64.052146
77.000000	533.885925	66.399439
78.000000	533.952823	68.746143
79.000000	534.019720	71.092259
80.000000	534.086618	73.437788
81.000000	534.153515	75.782729
82.000000	534.220413	78.127083
83.000000	534.287310	80.470849
84.000000	534.354208	82.814029
85.000000	534.421105	85.156623
86.000000	534.488003	87.498629
87.000000	534.554900	89.840050
88.000000	534.621798	92.180885
89.000000	534.688695	94.521134
90.000000	534.755593	96.860797
91.000000	534.822490	99.199875
92.000000	534.889388	101.538368
93.000000	534.956285	103.876276
94.000000	535.023182	106.213600
95.000000	535.090080	108.550339
96.000000	535.156977	110.886494
97.000000	535.223875	113.222065
98.000000	535.290772	115.557052
99.000000	535.357670	117.891455
100.000000	535.424567	120.225276
101.000000	535.491465	122.558513
102.000000	535.558362	124.891167
103.000000	535.625260	127.223239
104.000000	535.692157	129.554728
105.000000	535.759055	131.885634
106.000000	535.825952	134.215959
107.000000	535.892850	136.545702
108.000000	535.959747	138.874864
109.000000	536.026645	141.203444
110.000000	536.093542	143.531443
111.000000	536.160440	145.858861
112.000000	536.227337	148.185698
113.000000	536.294234	150.511955
114.000000	536.361132	152.837631
115.000000	536.428029	155.162727
116.000000	536.494927	157.487244
117.000000	536.561824	159.811181
118.000000	536.628722	162.134538
119.000000	536.695619	164.457317
120.000000	536.762517	166.779516
121.000000	536.829414	169.101137
122.000000	536.896312	171.422179
123.000000	536.963209	173.742642
124.000000	537.030107	176.062528
125.000000	537.097004	178.381835
126.000000	537.163902	180.700565
127.000000	537.230799	183.018718
128.000000	537.297697	185.336293
129.000000	537.364594	187.653291
130.000000	537.431492	189.969713
131.000000	537.498389	192.285557
132.000000	537.565287	194.600826
133.000000	537.632184	196.915518
134.000000	537.699081	199.229634
135.000000	537.765979	201.543175
136.000000	537.832876	203.856140
137.000000	537.899774	206.168529
138.000000	537.966671	208.480344
139.000000	538.033569	210.791584
140.000000	538.100466	213.102249
141.000000	538.167364	215.412339
142.000000	538.234261	217.721855
143.000000	538.301159	220.030798
144.000000	538.368056	222.339166
145.000000	538.434954	224.646961
146.000000	538.501851	226.954182
147.000000	538.568749	229.260830
148.000000	538.635646	231.566906
149.000000	538.702544	233.872408
150.000000	538.769441	236.177338
151.000000	538.836339	238.481696
152.000000	538.903236	240.785482
153.000000	538.970133	243.088695
154.000000	539.037031	245.391337
155.000000	539.103928	247.693408
156.000000	539.170826	249.994907
157.000000	539.237723	252.295835
158.000000	539.304621	254.596193
159.000000	539.371518	256.895979
160.000000	539.438416	259.195196
161.000000	539.505313	261.493842
162.000000	539.572211	263.791918
163.000000	539.639108	266.089425
164.000000	539.706006	268.386361
165.000000	539.772903	270.682729
166.000000	539.839801	272.978527
167.000000	539.906698	275.273757
168.000000	539.973596	277.568418
169.000000	540.040493	279.862510
170.000000	540.107391	282.156034
171.000000	540.174288	284.448990
172.000000	540.241185	286.741378
173.000000	540.308083	289.033198
174.000000	540.374980	291.324451
175.000000	540.441878	293.615136
176.000000	540.508775	295.905255
177.000000	540.575673	298.194807
178.000000	540.642570	300.483792
179.000000	540.709468	302.772211
180.000000	540.776365	305.060064
181.000000	540.843263	307.347350
182.000000	540.910160	309.634071
183.000000	540.977058	311.920226
184.000000	541.043955	314.205816
185.000000	541.110853	316.490841
186.000000	541.177750	318.775301
187.000000	541.244648	321.059196
188.000000	541.311545	323.342527
189.000000	541.378443	325.625294
190.000000	541.445340	327.907496
191.000000	541.512238	330.189134
192.000000	541.579135	332.470209
193.000000	541.646032	334.750720
194.000000	541.712930	337.030669
195.000000	541.779827	339.310054
196.000000	541.846725	341.588876
197.000000	541.913622	343.867135
198.000000	541.980520	346.144832
199.000000	542.047417	348.421967
200.000000	542.114315	350.698540
201.000000	542.181212	352.974551
202.000000	542.248110	355.250001
203.000000	542.315007	357.524889
204.000000	542.381905	359.799216
205.000000	542.448802	362.072982
206.000000	542.515700	364.346188
207.000000	542.582597	366.618832
208.000000	542.649495	368.890917
209.000000	542.716392	371.162441
210.000000	542.783290	373.433405
211.000000	542.850187	375.703810
212.000000	542.917084	377.973655
213.000000	542.983982	380.242941
214.000000	543.050879	382.511668
215.000000	543.117777	384.779835
216.000000	543.184674	387.047445
217.000000	543.251572	389.314495
218.000000	543.318469	391.580988
219.000000	543.385367	393.846922
220.000000	543.452264	396.112298
221.000000	543.519162	398.377117
222.000000	543.586059	400.641378
223.000000	543.652957	402.905083
224.000000	543.719854	405.168230
225.000000	543.786752	407.430820
226.000000	543.853649	409.692853
227.000000	543.920547	411.954331
228.000000	543.987444	414.215252
229.000000	544.054342	416.475617
230.000000	544.121239	418.735426
231.000000	544.188136	420.994679
232.000000	544.255034	423.253378
233.000000	544.321931	425.511520
234.000000	544.388829	427.769108
235.000000	544.455726	430.026142
236.000000	544.522624	432.282620
237.000000	544.589521	434.538545
238.000000	544.656419	436.793915
239.000000	544.723316	439.048731
240.000000	544.790214	441.302993
241.000000	544.857111	443.556702
242.000000	544.924009	445.809857
243.000000	544.990906	448.062460
244.000000	545.057804	450.314509
245.000000	545.124701	452.566006
246.000000	545.191599	454.816950
247.000000	545.258496	457.067342
248.000000	545.325394	459.317181
249.000000	545.392291	461.566469
250.000000	545.459189	463.815205
251.000000	545.526086	466.063389
252.000000	545.592983	468.311022
253.000000	545.659881	470.558104
254.000000	545.726778	472.804635
255.000000	545.793676	475.050616
256.000000	545.860573	477.296046
257.000000	545.927471	479.540925
258.000000	545.994368	481.785255
259.000000	546.061266	484.029034
260.000000	546.128163	486.272264
261.000000	546.195061	488.514945
262.000000	546.261958	490.757076
263.000000	546.328856	492.998658
264.000000	546.395753	495.239691
265.000000	546.462651	497.480175
